,SchoolCode,Expenditure
701,2807,21157775
702,2808,2574006
703,2809,7800076
704,2810,4081621
705,2811,9124184
706,2813,8932030
707,2814,7300997
708,2816,4341205
709,2817,5619011
710,2818,8257697
711,2819,6561478
712,2821,6440480
713,2822,4894815
714,2823,4294432
715,2824,7108290
716,2825,6957936
717,2826,20768173
718,2827,3949338
719,2828,10347564
720,2829,7395727
721,2830,2790510
722,2831,8280949
723,2832,5746239
724,2833,6328352
725,2834,6209198
726,2835,4543512
727,2836,1417237
728,2838,11030165
729,2839,15901878
730,2841,6323364
731,2842,10071179
732,2844,9094833
733,2846,8270936
734,2847,7230863
735,2848,12768509
736,2849,28364733
737,2850,23592302
738,2851,7072421
739,2853,7218786
740,2854,4921773
741,2856,4544420
742,2858,4942886
743,2859,3575849
744,2860,2338554
745,2862,1242208
746,2863,1565067
747,2864,3433068
748,2865,4438541
749,2868,2140827
750,2870,5224935
751,2871,6307408
752,2872,6466218
753,2874,6652015
754,2875,8087895
755,2876,18230033
756,2877,8680068
757,2878,9508730
758,2879,4483599
759,2880,7919737
760,2882,3657205
761,2883,9243860
762,2884,7597912
763,2885,9167163
764,2886,9799382
765,2887,7179287
766,2888,6115414
767,2890,6925955
768,2892,5182786
769,2893,4432101
770,2894,3619951
771,2895,1571515
772,2896,1025035
773,2898,5697465
774,2899,8725432
775,2900,14202025
776,2902,8584891
777,2903,908612
778,2904,5837320
779,2905,3727648
780,2906,8457712
781,2907,8504795
782,2908,15458937
783,2909,6043266
784,2910,9732688
785,2911,5071839
786,2912,8328227
787,2913,2646996
788,2914,4521813
789,2915,4955273
790,2916,7612710
791,2917,29619811
792,2918,6249622
793,2919,6551012
794,2920,9972367
795,2921,4010709
796,2922,2169520
797,2926,9279028
798,2927,10524430
799,2929,6723361
800,2932,7809222
801,2938,6611993
802,2939,6994966
803,2940,6982146
804,2941,6854148
805,2942,10283007
806,2943,5372533
807,2944,8671459
808,2945,6820410
809,2946,5494384
810,2948,979540
811,2950,6101739
812,2951,7992139
813,2952,6872160
814,2953,4346424
815,2954,6542152
816,2955,5965778
817,2956,3892984
818,2957,4964989
819,2958,1253488
820,2959,25818076
821,2961,8542917
822,2962,4401079
